feedback,rating,category
"The app is really easy to use and intuitive. I love the interface!",5,positive
"Customer service was very helpful when I had an issue",4,positive
"The loading times are too slow, please fix this",2,negative
"Great features but the mobile version needs improvement",3,suggestion
"I've been using this for months and it's been reliable",5,positive
"The search function doesn't work properly",1,negative
"Would be great to have more customization options",4,suggestion
"Fast and efficient, exactly what I needed",5,positive
"The documentation is unclear and hard to follow",2,negative
"Love the new update, much better performance",5,positive
